Country,Urban population,GDP per Capita
Other small states,63.151889073295,13878.8148434096
Pacific island small states,39.3122884677537,3643.84543691992
Pakistan,37.44,1505.01019279429
Palau,81.483,12083.8881491345
Panama,68.775,14617.6044816372
Papua New Guinea,13.456,2672.94579035518
Paraguay,62.496,5891.49996504641
Peru,78.5,6621.57433601881
Philippines,47.684,3460.53096344408
Poland,60.075,17999.9099495446
Portugal,66.849,24567.5092651
Post-demographic dividend,81.8519490329733,49223.5950344334
Pre-demographic dividend,43.0313796515821,1411.4592703128
Puerto Rico,93.592,32640.710335631
Qatar,99.278,66838.357433014
Romania,54.329,14858.2294290445
Russian Federation,74.934,12194.77734375
Rwanda,17.568,822.3479885942
Samoa,17.742,3857.31846401804
San Marino,97.62,45320.2087156066
Sao Tome and Principe,75.073,2360.54355385897
Saudi Arabia,84.508,23185.8707917797
Senegal,48.6,1636.89320864296
Serbia,56.651,9230.17831602601
Seychelles,57.972,14653.3093943039
Sierra Leone,43.372,480.039211301066
Singapore,100.0,72794.0030226738
Sint Maarten (Dutch part),100.0,28988.2592085877
Slovak Republic,53.82,21391.9253336042
Slovenia,55.427,29291.4006234431
Small states,59.7143395175268,12588.9277948417
Solomon Islands,25.128,2304.84456746354
Somalia,46.731,446.981559635259
South Africa,67.847,7055.04477598783
South Asia,35.3519249926791,2149.8215950035
South Asia (IDA & IBRD),35.3519249926791,2149.8215950035
South Sudan,20.514,1071.77776475545
Spain,81.056,30103.513733191
Sri Lanka,18.86,4013.68765683604
St. Kitts and Nevis,30.906,18082.6101907478
St. Lucia,18.94,9414.22623085983
St. Vincent and the Grenadines,53.452,8666.38704104884
Sub-Saharan Africa,41.8300531130444,1626.27792590406
Sub-Saharan Africa (IDA & IBRD countries),41.8300531130444,1626.27792590406
Sub-Saharan Africa (excluding high income),41.8286965243513,1625.18311846119
Sudan,35.593,751.821350097656
Suriname,66.219,4869.13422621242
Sweden,88.238,61028.7380600287
Switzerland,73.996,91991.6004583563
Syrian Arab Republic,56.124,533.3852317094
Tajikistan,27.726,897.047510293411
Tanzania,35.954,1099.28759765625
Thailand,52.163,7066.19054595323
Timor-Leste,31.695,2741.39393111832
Togo,43.358,973.206129076133
Tonga,23.104,4426.00063706281
Trinidad and Tobago,53.265,16032.5027680992
Tunisia,69.888,3807.13915027254
Turkiye,76.569,9661.23597511355
Turkmenistan,52.998,7344.64823305792
Turks and Caicos Islands,93.834,20908.5827016004
Tuvalu,64.785,5632.00299343641
Uganda,25.553,883.892032311279
Ukraine,69.757,4835.57177734375
United Arab Emirates,87.299,44315.5541834116
United Kingdom,84.152,46510.2827819127
United States,82.873,70248.6290002242
Upper middle income,68.3753687703206,10828.0506944074
Uruguay,95.603,17313.1883484186
Uzbekistan,50.427,1983.06472288992
Vanuatu,25.665,2996.62106154483
"Venezuela, RB",88.325,15975.7293753361
Vietnam,38.052,3756.48912117326
Virgin Islands (U.S.),96.04,39552.1685953523
West Bank and Gaza,77.003,3663.96905468875
World,56.4775413853993,12234.7968020033
"Yemen, Rep.",38.546,701.714877767947
Zambia,45.192,1137.34363269164
Zimbabwe,32.303,1773.92041088078
